요리명,재료(계량 포함),재료,레시피,관련 질환,질환별 추천 식재료
새싹참치김밥,"재료 파프리카(15g), 파인애플(15g), 달걀(30g), 김(2g), 밥(150g)
새싹채소(10g), 참치(12g)
소스 저염간장(5g), 마요네즈(2.5g), 설탕(0.5g)","재료 파프리카, 밥, 파인애플, 달걀, 김, 새싹채소, 참치, 소스 저염간장, 설탕, 마요네즈","1. 소스를 만든다.2. 파프리카와 파인애플을 먹기 좋게
썬다.3. 스크램블 에그를 만든다.4. 김발 위에 ⅔크기로 자른 김을 놓고
밥을 고루 편 뒤 새싹채소,
스크램블 에그, 파프리카, 기름 뺀
참치, 파인애플을 올리고 소스를
고르게 뿌린다.5. 반으로 접어 먹기 좋게 썰어
마무리한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
연어주먹밥튀김,"재료 당근(30g), 피망(30g), 양파(30g), 밥(100g), 마요네즈(20g)
통조림 연어(1캔=130g), 식초(10g), 데리야키소스(15g)
달걀(40g), 빵가루(60g), 어린잎채소(50g)
오리엔탈소스 식초(10g), 레몬즙(15g), 간장(10g), 다진 마늘(10g), 꿀(10g)
올리브유(20g), 참깨(5g)","재료 당근, 피망, 밥, 양파, 마요네즈, 식초, 데리야키소스, 통조림 연어, 빵가루, 어린잎채소, 달걀, 꿀, 레몬즙, 간장, 다진 마늘, 오리엔탈소스 식초, 올리브유, 참깨","1. 당근, 피망, 양파를 잘게 다진 뒤
기름에 살짝 볶아 밥에
마요네즈(10g)와 함께 넣어 섞는다.2. 통조림 연어는 기름기를 빼고,
식초를 넣은 끓는 물에서 30초 정도
데친다.3. 데리야키소스와 마요네즈(10g)에
연어를 넣고 버무려 양념한다.4. 밥을 동그랗게 빚은 뒤 가운데에
연어를 넣고 주먹밥을 만든다.5. 달걀물과 빵가루를 입혀 160℃로
예열한 기름에 바삭하게 튀긴다.6. 연어주먹밥튀김을 담고
어린잎채소를 곁들인 뒤
오리엔탈소스를 곁들여 마무리한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
오징어불고기김밥,"재료 오징어 몸통(130g), 파프리카(30g), 당근(20g), 피망(30g), 밥(200g)
채 썬 쇠고기(우둔살, 60g), 달걀(50g), 김(2g), 깻잎(20g), 새송이버섯(30g)
양념 참기름(15g), 고추장(3g), 매실청(15g)","피망, 밥, 당근, 파프리카, 재료 오징어 몸통, , 달걀, 채 썬 쇠고기(우둔살, 깻잎, 김, 새송이버섯, 고추장, 매실청, 양념 참기름","1. 오징어 몸통 안쪽에 칼집을 내고
끓는 물에 데친다.2. 파프리카와 당근, 피망은 작게 다져
볶은 뒤 밥에 넣어 섞는다.3. 쇠고기는 참기름에 볶는다.4. 달걀을 풀어 약한 불로 달군 팬에
부은 뒤 김가루를 뿌려 지단을
부치고, 바닥이 익으면 깻잎과
밥을 올린다.5. 데친 오징어, 볶은 쇠고기 순으로
올려 만 뒤 랩으로 싼다.6. 고추장과 매실청을 섞은 뒤 팬에
넣고 약한 불에서 끓여 소스를
만들고 한입 크기로 썬 김밥에
구운 버섯을 함께 곁들여
마무리한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
닭가슴살청포묵비빔밥,"재료 닭가슴살(40g), 양배추(10g), 청포묵(30g), 숙주(30g)
쌀(80g), 달걀지단(20g), 무순(5g)
닭고기 삶는 재료 된장(3g), 마늘(5g), 후춧가루(0.1g), 소금(0.1g)
비빔소스 저염간장(4g), 참기름(1g)","숙주, 양배추, 청포묵, 재료 닭가슴살, 달걀지단, 무순, 쌀, 마늘, 후춧가루, 소금, 닭고기 삶는 재료 된장, 비빔소스 저염간장, 참기름","1. 닭고기 삶는 재료를 물(100g)에 넣어
끓이다가 닭가슴살을 넣고 삶아
한입 크기로 썬다.2. 양배추는 곱게 채 썰고, 청포묵은
먹기 좋은 크기로 썬다.3. 숙주는 끓는 물에 데쳐 물기를 뺀다4. 비빔소스를 만든다.5. 쌀에 물을 붓고 밥을 짓는다.6. 밥 위에 닭가슴살, 양배추, 청포묵,
숙주, 달걀지단, 무순을 담아
마무리한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
족발수육,"양념족발 200g, 고구마 150g, 가지 150g, 맥주 400g
백김치 50g, 백김치 무침양념 : 참기름 15g, 통깨 3g","고구마, 양념족발, 맥주, 가지, 백김치무침양념:참기름, 통깨, 백김치","1. 조미된 족발은 뜨거운 맥주에 데쳐내 기름기를
제거한다.2. 고구마는 편으로 썰어 냉수에 헹궈 기름
없는 팬에 구워준다.3. 가지는 편으로 썰어서 수분을 제거한다.4. 가지는 편으로 썰어 살짝 구워준다.5. 백김치는 물에 헹궈서 손으로 꼭 짠 후 송송
썰어서 양념을 해 무쳐준다.6. 무쳐준 김치와 함께 구워진 채소와 족발수육을
담아 완성한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
함초떡갈비,"갈은 소고기 150g, 갈은 돼지고기 150g, 당근 25g, 새송이버섯 20g
함초 30g, 양파 25g, 샐러리 10g, 대파 10g,
다진마늘 10g, 참기름 15g, 통깨 5g, 함초소금 1g
소스 : 발사믹식초 30g, 설탕 15g, 흰후추 1g","당근, 새송이버섯, 갈은돼지고기, 갈은소고기, , 함초, 샐러리, 양파, 대파, 통깨, 다진마늘, 참기름, 함초소금, 소스:발사믹식초, 설탕, 흰후추","1. 함초는 송송 다져준다.2. 당근, 새송이, 샐러리, 양파를 송송 다져준다.3. 볼에 소고기, 돼지고기, 다져 놓은 채소와
다진마늘, 다진대파, 참기름을 넣고 반죽해준다.4. 여기에 함초 다진 것을 넣고 다시 반죽해 준다.5. 떡갈비 모양으로 만들어준 후 팬에 노릇하게
구워준다.6. 소스를 만들어 구워진 떡갈비를 졸여준다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
삼색소면,"3가지색 소면(분홍, 초록, 흰색) 각 25g씩, 쪽파 20g, 청고추 20g, 홍고추 15g, 마늘 10g
국물 : 다시마물 400g, 모시조개 200g, 볶은소금 1g, 청주 15g","쪽파, 흰색)각, 초록, 마늘, 청고추, 3가지색 소면(분홍, 홍고추, 모시조개, 볶은소금, 국물:다시마물, 청주","1. 모시조개는 볶은소금을 넣어서 해감시킨다.2. 준비된 다시마물에 준비된 채소의 국물재료를
넣고 국물을 만들어준다.3. 만들어진 국물에 모시조개를 넣고 청주를
부어서 국물을 만들어준다.4. 쪽파는 송송 다지고 마늘은 곱게 다져주고
청홍고추는 가늘게 채 썰어준다.5. 면을 각각 삶아준다.6. 삼색 면을 그릇에 담고 만들어진 국물을
부워서 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
돼지수육맑은전골,"통삼겹 250g, 된장 10g, 통후추 2g
다진대파 5g, 팽이버섯 10g, 당근 20g, 배추 30g, 청경채 20g
애호박 25g, 숙주 25g, 청양고추 20g
육수 : 천연다시다 15g, 물 300g, 다진마늘 5g
곁들이장 : 어간장 15g, 겨자 5g, 식초 15g, 깨 5g","된장, 통삼겹, 통후추, 다진대파, 팽이버섯, 당근, 청경채, 배추, 숙주, 청양고추, 애호박, 다진마늘, 물, 육수:천연다시다, 겨자, 곁들이장:어간장, 깨, 식초","1. 당근, 청경채, 배추, 애호박, 팽이버섯은 먹기
좋은 크기로 잘라준다.2. 흑돼지고기, 저염된장, 후추를 넣어서 불순물을
제거하면서 고기를 삶아준다.3. 천연다시다로 육수를 만들어 체에 걸러준다.4. 손질한 야채들과 청양고추를 잘라 함께 육수에
데쳐 국물에 매운 맛을 낸다.5. 곁들이장을 만들어 준다.6. 냄비에 데쳐준 채소와 국물을 붓고 고기를
먹기좋게 썰어 소스랑 완성한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
채소비빔밥,"쌀 150g, 바지락 100g, 다진쇠고기 25g, 물 300g, 참기름 15g, 흰후추 1g, 다진마늘 15g
애호박 25g, 양파 25g, 오이 25g, 당근 25g, 표고 25g
두부볶음 : 두부 50g, 함초 25g, 깻잎 10g, 양파 20g, 다진파 15g, 다진마늘 15g","다진마늘, 물, 바지락, 참기름, 쌀, 다진쇠고기, 흰후추, 표고, 오이, 애호박, 당근, 양파, 다진마늘, 다진파, 함초, 두부볶음:두부, 양파, 깻잎","1. 바지락은 해감을 시켜준 후 물에 넣어 바지락
육수를 만들어준다.2. 바지락살은 따로 떼어내어 다진소고기와
다시 다져서 양념해 볶아준다.3. 두부는 물기제거를 한 후 함초, 깻잎, 다진양파,
를 넣어 치대어 두부볶음을 만들어준다.4. 애호박은 채 썰어주고 양파, 오이, 당근, 표고도
채 썰어 각각 볶아준다.5. 볶은 바지락과 쌀을 넣어 밥을 한다.6. 몰드에 밥과 각종 채소들을 올려주고 마지막에
두부 스크램블을 올려 밥을 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
열무김치파스타,"파스타면 50g, 열무김치 100g, 오이 20g, 청홍고추 각각 15g
노란 파프리카 30g, 양파 30g, 당근 25g
생들기름 30g, 통깨 2g, 청양고추 30g","열무김치, 청홍고추각각, 파스타면, 오이, 노란파프리카, 당근, 양파, 통깨, 청양고추, 생들기름","1. 뜨거운 물에 파스타면을 삶아낸 뒤 물기를
빼준다.2. 송송 썬 청양고추를 생들기름에 볶아주다
면을 볶는다.3. 볶아준 청양고추에 삶아진 면을 볶아준다.4. 열무김치는 송송 썰어서 들기름에 살짝
볶아준다.5. 오이는 돌려깎기 해서 채 썰어주고 청고추,
2가지색 파프리카, 당근도 채 썰어 각각 볶아
준다.6. 청양고추에 볶아진 파스타면을 볶은 채소와
한 번 더 볶아 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
해초갈비찜,"찜갈비 200g, 마른미역줄기 10g, 감자 20g, 양파 25g, 청고추 15g
홍고추 15g, 대추 4g, 당근 20g, 메추리알 25g,
양념장 : 맛간장 30g, 다진마늘 5g, 다진대파 5g, 생강청 15g, 후추 1g
참기름 3g, 올리고당 15g, 통깨 1g","찜갈비, 감자, 마른미역줄기, 양파, 청고추, , 메추리알, 대추, 당근, 홍고추, 다진대파, 다진마늘, 양념장:맛간장, 후추, 생강청, 통깨, 올리고당, 참기름","1. 갈비는 핏물을 빼주고 뜨거운 물에 80% 이상
데쳐준 뒤 갈비와 감자를 물을 자작하게 넣고
청주, 생강청을 넣고 푹 삶아준다.2. 양파, 청고추, 홍고추는 먹기 좋게 썰어준다.3. 마른미역줄기는 냉수에 행군 뒤 물기를 빼준다.4. 양념장을 바글바글 끓여준다.5. 끓고 있는 양념장에 삶아진 갈비, 감자, 당근
순으로 끓이다 메추리알을 넣고 졸여준다.6. 마지막에 미역줄기를 넣고 볶아주는 형식으로
갈비찜을 완성한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
버섯곤드레밥,"쌀 100g, 건곤드레 10g, 느타리버섯 20g, 참기름 15g
비빔장 : 두부 50g, 된장 15g, 다진청고추 5g, 다진홍고추 5g, 다진마늘 2g
다진대파 2g, 참기름 15g, 통깨 2g","느타리버섯, 건곤드레, 참기름, 쌀, 다진마늘, 다진청고추, 비빔장:두부, 다진홍고추, 된장, 다진대파, 통깨, 참기름","1. 곤드레는 뜨거운 물에 데쳐낸 뒤 깨끗하게
헹구고 송송 썰어준다.2. 두부의 물기를 짜 준다.3. 양념장 재료와 물기를 짠 두부로 양념장을
만들어준다.4. 느타리버섯은 뜨거운 물에 데쳐낸 후 수분을
빼 가늘게 찢어준다.5. 냄비에 참기름을 두르고 곤드레를 볶다가 쌀을
넣고 밥을 해준다.6. 뜸을 들일 때 느타리버섯을 올려주어 밥을
완성한다.",아토피성 피부염,채소 과일 브로콜리 케일 채소 귤 사과 배 쌀 보리 현미 녹두 팥 우리밀 콩 검은콩 두부 두유 된장 청국장 명태 조기 갈치 오징어 멸치동태 대구 낙지 문어 굴 해삼 조개 멸치 흰살 꽁치 동태 생선 올리브기름 참기름 들기름 올리브유 강낭콩
바다향이 풍부한 전복죽,"전복 100g, 당근 15g, 건조미역 10g
찹쌀 50g, 흑임자 3g, 참기름 15g, 청주 15g, 흰후추 2g","당근, 전복, 건조미역, 참기름, 찹쌀, 흰후추, 청주, 흑임자","1. 찹쌀은 불려주고 전복은 손질해 내장과 분리해
준 뒤 청주를 넣어서 전복 내장을 믹서에
갈아준다.2. 전복 몸에 칼집을 내준 후 참기름을 두른 팬에
구워준다.3. 당근과 미역은 송송 잘라준다.4. 전복내장을 먼저 참기름에 충분히 볶아준다.5. 내장을 볶아주다가 불린 찹쌀을 넣고 충분히
볶아준다.6. 죽이 완성될 때 당근, 미역을 넣고 죽을 끓여
주고 전복은 고명으로 올려준다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
주꾸미연포탕,"주꾸미 200g, 무 30g, 양파 50g, 대파 20g, 미나리 20g, 단호박 25g, 청고추 25g
국물 : 해물육수 400g, 청양고추 20g, 마늘 10g, 흰후추 1g","미나리, 청고추, 단호박, 양파, 대파, 무, 주꾸미, 마늘, 청양고추, 국물:해물육수, 흰후추","1. 주꾸미는 세척해 물기를 빼준다.2. 무와 단호박은 먹기 좋게 썰어준다.3. 청고추, 미나리, 양파를 먹기 좋게 썰어준다.4. 청양 고추를 어슷하게 썰고 마늘은 편으로 썰어
국물을 끓여준다.5. 국물이 만들어지면 무, 단호박을 넣고 끓여준다.6. 국물에 대파를 넣어주고 모든 재료를 넣어
완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
함초소고기말이,"쇠고기구이용 150g, 알마늘 20g, 홍고추 15g, 양파 60g
함초 30g, 무순 2g, 노란색파프리카 25g
소스 : 마늘기름 15g, 맛간장 15g, 허브식초 15g, 연겨자 10g, 버섯마늘소금 2g","홍고추, 알마늘, 양파, 쇠고기구이용, 함초, 무순, 노란색파프리카, 버섯마늘소금, 허브식초, 소스:마늘기름, 맛간장, 연겨자","1. 파프라카, 양파, 홍고추는 가늘게 채 썰어준다.2. 함초는 세척 후 먹기 좋게 손질해 준다.3. 무순을 물 속에 담가준다.4. 편으로 썰어준 소고기에 채 썰어준 채소와
함초를 꼭 싸 말아준다.5. 마늘은 편으 로 썰 어 마늘기름에 한 번
구워준다.6. 구운 마늘을 깔고 말아준 고기를 굽는다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
묵계밥,"도토리묵, 올방개묵, 검정깨묵 각각 25g
귀리밥 150g, 계란 55g, 콩나물 30g
국물 : 닭가슴살 70g, 마늘 10g, 대파 10g, 양파 15g, 맛간장 15g, 흰후추 1g, 버섯마늘소금 2g","도토리묵, 올방개묵, 검정깨묵각각, 귀리밥, 콩나물, 계란, 버섯마늘소금, 국물:닭가슴살, 맛간장, 흰후추, 양파, 마늘, 대파","1. 닭가슴살을 이용해 국물을 만든다.2. 닭가슴살은 먹기 좋게 찢어 흰 후추, 버섯마늘
소금으로 밑간을 해준다.3. 콩나물은 머리를 떼어내고 데쳐준다.4. 계란은 황백지단으로 부친 후 채 썰어준다.5. 3종류의 묵은 먹기 좋은 크기로 썰어준다.6. 그릇에 밥을 담고 콩나물을 올리고 3종류의
묵을 올린 후 계란으로 고명해 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
근채류주먹밥,"우엉 20g, 연근 20g, 감자 20g, 청고추 10g, 양파 10g, 당근 10g
쌀 100g, 오이 70g, 통깨 1g, 맛간장 15g, 참기름 5g, 마늘기름 15g, 함초소금 2g","연근, 감자, 우엉, 당근, 양파, 청고추, 참기름, 오이, 쌀, 마늘기름, 함초소금, 통깨, 맛간장","1. 쌀을 깨끗하게 씻은 후에 쌀뜨물은 따로
보관하고 불려준 쌀로 밥을 해주고 접시에
펼쳐 식혀준다.2. 우엉과 연근, 감자는 송송 다져준 후 아린 맛을
빼기위해 물에 담가준다.3. 우엉과 연근, 감자는 물기를 빼고 볶아준다.4. 청고추, 양파, 당근은 송송 다져서 함께
볶아준 뒤, 함초 소금을 이용해 1차 간을
해준다.5. 그 릇 에 모 든 재 료 를 넣 고 오 니 기 리 를
만들어준다.6. 그릇에 담아 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
단호박약식,"미니 단호박 250g, 찹쌀 100g, 밤 40g, 대추 18g, 크린베리 10g
양념장 : 맛간장 15g, 참기름 10g, 계피가루 5g","찹쌀, 크린베리, 대추, 밤, 미니단호박, 계피가루, 양념장:맛간장, 참기름","1. 단 호박은 속을 파 준다.2. 찹쌀은 물에 불려준다.3. 밤은 먹기 좋게 잘라서 물에 담가준다.4. 대추는 씨를 제거하고 먹기 좋게 잘라준다.5. 양념장을 만들어 먼저 쌀과 밤을 재워준 후
찰밥을 만든다.6. 단호박 속에 찰밥을 넣어서 찜기에 쪄준다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
달콤스테이크,"소 채끝살 200g, 감자 70g, 시금치 25g, 당근 30g
소스 : 레드와인 200cc. 망고 50g, 딸기잼 30g, 볶은소금 0.5g, 후추 2g
무염버터 5g, 설탕 10g, 레몬즙 5g, 다진양파 15g","감자, 시금치, 당근, 소채끝살, 볶은소금, 소스:레드와인200cc.망고, 딸기잼, 후추, 다진양파, 설탕, 레몬즙, 무염버터","1. 망고는 손질 후 버터로 살짝 볶고 레드와인을
넣고 졸이다가 믹서로 갈아주고 딸기잼으로
간과 농도를 맞추어 레드와인 소스를 만든다.2. 소 채끝살은 손질 후 만들어진 레드와인 소스에
마리네이드 해준다.3. 감자는 껍질을 제거 후 먹기 좋은 크기로 잘라서
뜨거운 물에 데쳐내 버터에 볶아준다. 당근은
먹기좋은 크기로 잘라 뜨거운 물에 데쳐 버터
에 볶아주고, 시금치도 데친 후 수분을 제거하
고 버터에 볶는다.4. 마리네이드 한 고기를 구워준다.5. 마리네이드 하고 남은 망고소스를 다시 팬에
졸여 소스를 만든다.6. 접시에 준비된 채소와 안심을 담고 소스를
뿌려 완성한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
삼색샌드위치,"식빵(100g), 토마토(20g), 어린이치즈(20g), 양상추(30g)
감자(30g), 올리고당(20g), 달걀(60g), 당근(20g), 오이(20g)
양파(20g), 소금(0.3g)","어린이치즈, 토마토, 양상추, 식빵, 올리고당, 오이, 감자, 달걀, 당근, 소금, 양파","1. 식빵은 가장 자리를 잘라 밀대를 이용
하여 얇게 밀어 준비한다.2. 감자는 삶은 뒤 곱게 으깨어 올리고당을
넣고 골고루 섞는다.3. 달걀은 약 13분 정도 삶아 껍질을
벗기고, 반으로 갈라 썰어놓는다.4. 당근과 양파 오이도 얇게 썰어놓는다.5. 토마토는 포를 떠서 준비한다.6. 으깬 감자(②)에 준비한 달걀(③)과
채소(④)를 넣고 소금을 약간 넣은 뒤
골고루 섞어, 밀어 놓은 식빵에 토마토,
치즈, 양상추와 함께 넣어 돌돌 말아
완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
황태탕수육,"황태채(100g), 밀가루(30g), 찹쌀가루(10g), 녹말가루(10g)
삼색분말(각 10g), 달걀(50g), 튀김기름(200g)
- 소스 : 파프리카(30g), 양파(30g), 당근(30g), 오이(30g)
파인애플(30g), 저염간장(20g), 설탕(20g), 식초(10g)
물녹말(녹말가루 10g, 물 10g)","밀가루, 녹말가루, 찹쌀가루, 황태채, 삼색분말, 튀김기름, 달걀, - 소스 : 파프리카, 당근, 오이, 양파, 파인애플, 저염간장, 설탕, 식초, 물녹말(녹말가루, 물","1. 황태는 가위로 약 3cm 길이로 잘라
스프레이로 물기를 준다.2. 밀가루를 세 군데로 나눠 각각 찹쌀
가루와 녹말가루, 삼색 가루를 넣어
세 가지의 색을 만든다.3. 만들어 놓은 밀가루에 달걀을 넣어
골고루 섞는다.4. 튀김 반죽(③)에 황태(①)를 넣어
섞은 후, 튀김 기름 170℃ 의 온도에서
약 1분 정도 튀겨 기름을 빼 놓는다.5. 파프리카는 속씨를 제거하고, 양파와
당근, 오이, 파인애플과 함께 썰어 준비
한다.6. 저염간장에 설탕과 식초를 넣어 골고루
섞은 후 냄비에서 바글바글 끓이다가
물녹말을 넣고, 썰어놓은 채소를 넣어
한 번 더 끓인 후 황태 탕수육(④)에
곁들여 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
밥핫도그,"소시지(100g), 나무막대기(5개), 밀가루(30g), 달걀(50g)
빵가루(30g), 튀김기름(200g), 파프리카(30g), 밥(50g)
감자(50g), 달걀흰자(10g), 소금(0.3g)","밀가루, 달걀, 나무막대기, 소시지, 빵가루, 튀김기름, 파프리카, 밥, 감자, 달걀흰자, 소금","1. 소시지는 먹기 좋은 크기로 썰어 나무
막대기에 꽂아놓는다.2. 파프리카는 작게 다져 준비한다.3. 으깬 감자를 준비된 밥과 함께 골고루
섞는다.4. 으깬 감자를 다시 준비된 밥과 함께
소금을 조금 넣고 골고루 섞는다.5. 밥과 감자가 잘 섞어지면, 다시 다져진
파프리카를 넣고 섞어준다.6. 막대기에 밀가루를 살짝 바르고, 소시
지에 반죽(⑤)을 감싸듯 손으로 둥글게
말아 밀가루와, 달걀물, 빵가루 순서로
입혀 튀김 기름 170℃의 온도에서
약 2분 정도 튀긴 후 기름을 제거하여
완성한다.",간염,바지락 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 닭고기 밥 떡 감자 고구마 과일 채소 닭가슴살 살코기 꽁치 동태 생선 계란 두부 콩
