,userID,age,sex,관심등록기관,관심등록질환,건강기능식품하트기록,레시피북마크기록
10,10,33,M,전립선 ,고혈압,"[27221, 3247, 12746, 24125, 20066, 28768, 10207, 3537, 23470, 155, 25378, 23897, 19990, 22182, 12042, 29355, 27392, 12649, 25889, 16688, 2037, 2087, 26153, 15909, 16839, 30243, 15584, 9178, 29655, 17417, 4633, 15715, 27055, 2924, 10638, 7330, 4483, 12259, 16946, 27910, 6281, 20977, 4354, 1627, 13405, 8475, 10066, 976, 21319, 15131]","[425, 830, 1086, 1113, 1024, 54, 192, 598, 4, 767, 232, 547, 685, 170, 302, 1078, 949, 260, 369, 1142, 1045, 190, 50, 940, 1020, 1171, 1147, 1195, 726, 479, 1154, 52, 1058, 910, 14, 804, 2, 482, 1139, 287, 313, 996, 133, 571, 1212, 884, 331, 51, 893, 355]"
11,11,36,M,갱년기 여성,당뇨병,"[11134, 24869, 21301, 11629, 25375, 29104, 13658, 4458, 14211, 17869, 2425, 12268, 10754, 28087, 20947, 21629, 12994, 28395, 11508, 3028, 12469, 6013, 10301, 3565, 28984, 24485, 4439, 14731, 24091, 29056, 8125, 12085, 7362, 22693, 12621, 4650, 16424, 25598, 11450, 6926, 4165, 29642, 20304, 8450, 16997, 26139, 24062, 16569, 2787, 16167]","[860, 134, 1113, 890, 857, 523, 27, 713, 772, 632, 1071, 1015, 592, 782, 240, 802, 844, 281, 117, 528, 859, 357, 270, 5, 508, 816, 441, 944, 650, 8, 535, 1212, 631, 711, 1070, 933, 1113, 538, 125, 754, 162, 337, 108, 1004, 482, 1218, 1038, 1025, 917, 398]"
12,12,43,M,혈당조절,천식,"[8419, 3267, 8949, 3568, 8182, 14196, 9877, 25763, 29484, 850, 13900, 12791, 6308, 3909, 14933, 15317, 20039, 26456, 7539, 18586, 20027, 11716, 23975, 28007, 21947, 6345, 12764, 29164, 3831, 10357, 9070, 11023, 12321, 602, 30342, 28556, 18503, 21143, 19479, 15607, 11036, 20145, 28551, 17917, 4561, 1909, 7043, 5556, 8224, 16828]","[620, 318, 529, 887, 1013, 21, 637, 1112, 1143, 127, 667, 699, 15, 589, 1156, 698, 1189, 1011, 736, 382, 176, 914, 1195, 584, 107, 310, 1043, 1112, 936, 974, 150, 714, 189, 456, 649, 431, 1064, 1113, 454, 408, 146, 380, 627, 96, 490, 314, 234, 668, 340, 462]"
13,13,54,F,치아 ,뇌졸중,"[1243, 12227, 26766, 27175, 19001, 27426, 28303, 13652, 21386, 5430, 25045, 19949, 8202, 12795, 26112, 20508, 9333, 10534, 18691, 541, 3580, 16052, 11384, 14081, 6450, 28990, 24450, 7503, 30736, 18433, 9759, 9252, 9349, 27844, 2436, 17533, 15607, 3410, 11535, 29388, 21701, 18767, 30295, 3703, 8097, 26420, 3226, 30767, 4125, 12969]","[90, 1225, 930, 413, 1000, 875, 322, 19, 605, 541, 683, 65, 772, 524, 968, 814, 196, 998, 256, 862, 704, 1137, 96, 897, 213, 490, 475, 223, 587, 328, 773, 284, 1161, 571, 1005, 590, 114, 1182, 670, 530, 867, 167, 907, 630, 372, 198, 787, 994, 681, 290]"
14,14,45,M,갱년기 여성,협심증,"[6856, 1874, 22057, 2956, 21226, 14365, 28612, 22658, 26174, 18614, 9449, 12132, 28029, 13594, 22546, 11581, 2537, 23147, 16828, 781, 8526, 8899, 4009, 22532, 6863, 7861, 15562, 8310, 13643, 546, 13476, 2623, 16000, 4859, 4860, 10878, 6456, 19817, 4193, 21123, 22709, 19102, 17835, 29577, 23493, 24590, 25479, 23666, 28211, 21883]","[816, 609, 500, 1124, 347, 273, 123, 681, 30, 628, 736, 386, 1032, 882, 1090, 1100, 969, 1153, 475, 739, 1165, 990, 821, 214, 335, 1221, 256, 459, 999, 742, 804, 936, 332, 294, 662, 945, 315, 923, 734, 604, 484, 129, 681, 298, 487, 133, 1231, 997, 415, 253]"
15,15,40,M,활성산소 제거,간염,"[10213, 27387, 19062, 23902, 16600, 30429, 14157, 17922, 1740, 19879, 15652, 29742, 25295, 17300, 13966, 24815, 15261, 13388, 26385, 17382, 10101, 27550, 24293, 28538, 6877, 20514, 25008, 5772, 27300, 17220, 7523, 22277, 26506, 7007, 22331, 22455, 14267, 29426, 6496, 17993, 13437, 4503, 29122, 21455, 16031, 10458, 15023, 15418, 11969, 6867]","[1028, 332, 812, 20, 607, 914, 483, 460, 826, 903, 471, 891, 339, 349, 499, 1043, 92, 110, 785, 1032, 1206, 82, 162, 177, 904, 714, 833, 719, 913, 976, 824, 223, 1002, 28, 184, 445, 505, 592, 1213, 71, 912, 974, 1235, 484, 218, 488, 571, 444, 1061, 1134]"
16,16,31,F,칼슘 흡수,협심증,"[28787, 23355, 856, 25546, 29363, 4351, 20191, 8279, 29597, 6187, 18298, 27096, 15877, 5889, 14463, 16858, 13635, 18782, 6815, 6076, 26272, 25764, 7436, 10430, 62, 4241, 14088, 16002, 19991, 6394, 13138, 28459, 15725, 2161, 18112, 11823, 15289, 27626, 30543, 6926, 26717, 1520, 1165, 19489, 5722, 15560, 24745, 26856, 15200, 22625]","[467, 677, 551, 1061, 1210, 938, 894, 1063, 1163, 983, 468, 974, 403, 890, 1098, 647, 916, 2, 571, 1226, 568, 1112, 1180, 806, 217, 891, 665, 950, 60, 552, 642, 967, 44, 348, 464, 783, 1029, 1091, 51, 236, 198, 129, 626, 597, 377, 469, 765, 874, 818, 684]"
17,17,57,M,칼슘 흡수,빈혈,"[811, 3417, 12144, 21277, 13060, 14930, 23484, 13380, 5932, 10902, 5570, 1659, 9851, 23052, 25483, 23488, 26195, 10926, 20158, 21010, 611, 4275, 16391, 30571, 19587, 15934, 22691, 25423, 22196, 14991, 11648, 4233, 6156, 30242, 25372, 27712, 7145, 7948, 21265, 130, 23045, 11457, 3136, 18495, 28801, 7470, 27882, 9059, 11742, 21715]","[350, 812, 326, 438, 520, 198, 1046, 1130, 132, 326, 667, 491, 541, 472, 560, 775, 1194, 1183, 169, 979, 616, 1122, 1041, 345, 809, 1036, 942, 109, 771, 801, 1120, 810, 99, 642, 295, 629, 388, 973, 137, 86, 1231, 1214, 600, 552, 120, 2, 277, 999, 727, 373]"
18,18,44,M,배뇨기능 ,고혈압,"[28298, 2830, 10663, 1779, 8007, 4317, 6390, 18372, 30021, 4442, 28737, 15225, 5963, 1995, 19305, 28395, 24168, 20733, 9859, 7029, 2569, 21765, 22078, 3000, 2041, 1382, 27878, 8345, 25100, 7183, 25369, 7520, 24635, 11781, 16982, 22539, 10699, 2930, 23633, 2371, 12994, 29004, 1231, 28403, 5153, 8012, 5856, 23025, 24311, 5253]","[402, 851, 400, 1110, 883, 1193, 600, 1147, 1238, 887, 358, 867, 826, 1110, 304, 816, 1024, 650, 561, 1099, 267, 415, 436, 354, 950, 138, 882, 362, 748, 808, 1075, 666, 550, 489, 290, 357, 419, 131, 726, 551, 923, 405, 287, 955, 674, 282, 745, 446, 79, 784]"
19,19,58,M,혈압조절,심근경색증,"[4790, 11447, 2791, 23670, 10484, 9207, 1062, 21921, 21324, 6666, 10965, 17248, 7478, 21524, 30515, 16152, 5871, 18876, 11076, 7415, 7757, 13436, 24915, 2050, 12297, 11168, 2058, 26204, 17367, 9136, 10645, 11886, 26022, 23587, 9449, 29419, 9102, 1415, 28257, 13789, 26398, 17956, 12286, 14433, 27475, 21364, 5816, 25544, 3908, 11623]","[206, 215, 630, 779, 1113, 681, 310, 217, 215, 153, 782, 1231, 648, 757, 269, 575, 431, 674, 738, 897, 824, 141, 320, 1199, 246, 997, 182, 486, 182, 342, 1151, 1200, 82, 539, 892, 408, 856, 46, 507, 512, 421, 359, 1171, 99, 967, 422, 870, 544, 1037, 391]"
20,20,24,M,요로 ,고혈압,"[18559, 9579, 5268, 10371, 11421, 4631, 16128, 4738, 18542, 7928, 592, 20042, 30486, 29068, 25013, 6514, 19506, 20995, 1052, 25305, 1832, 14184, 3411, 21375, 30754, 25430, 9049, 29325, 14714, 26462, 29466, 22328, 7645, 24068, 23477, 29643, 13355, 4490, 7089, 2380, 21342, 17221, 21774, 20246, 4415, 15706, 23123, 20694, 209, 11483]","[322, 1194, 816, 739, 149, 230, 543, 823, 457, 1004, 884, 1140, 276, 411, 175, 678, 913, 1182, 1206, 347, 431, 0, 402, 286, 917, 174, 604, 334, 19, 422, 544, 1024, 175, 24, 521, 61, 1023, 71, 783, 960, 934, 750, 927, 207, 869, 1088, 177, 138, 1096, 812]"
21,21,26,M,간 ,간염,"[4712, 5891, 510, 14305, 15561, 29726, 6089, 16920, 24630, 20855, 11107, 6936, 7114, 20228, 15820, 26481, 13446, 11460, 26219, 2442, 8044, 7307, 17965, 7350, 25217, 1281, 22475, 14071, 2587, 29077, 18132, 3549, 28980, 28448, 25591, 12001, 22885, 24926, 9672, 11329, 13583, 10687, 24196, 1462, 14681, 5977, 18161, 17504, 3295, 1357]","[630, 683, 332, 362, 506, 510, 1164, 382, 56, 827, 80, 256, 893, 106, 975, 761, 148, 668, 444, 366, 444, 559, 722, 922, 839, 383, 701, 292, 137, 916, 402, 634, 1223, 507, 844, 391, 849, 379, 616, 1106, 1180, 381, 802, 634, 1004, 252, 479, 1160, 681, 1122]"
22,22,21,M,위  ,심근경색증,"[11323, 10504, 12004, 16548, 26255, 21152, 7786, 18453, 11001, 27387, 25227, 10607, 16022, 19680, 26436, 17201, 22424, 17409, 3311, 19295, 1134, 11887, 16574, 6678, 19798, 21903, 8035, 28483, 13779, 708, 17844, 25713, 18704, 18657, 14900, 2230, 2237, 28154, 11995, 10336, 22669, 9897, 24989, 7225, 7433, 13112, 5333, 22302, 6516, 11702]","[1173, 98, 191, 445, 399, 247, 93, 274, 659, 173, 608, 1066, 368, 107, 586, 570, 560, 452, 620, 235, 665, 796, 1024, 315, 461, 1202, 707, 1157, 1084, 847, 156, 541, 184, 1011, 694, 986, 1023, 633, 1015, 188, 909, 559, 1164, 822, 978, 185, 955, 857, 116, 225]"
23,23,53,F,긴장완화,아토피성 피부염,"[21319, 27786, 3040, 16168, 12420, 15582, 12976, 9464, 15167, 25317, 21587, 11227, 28092, 19868, 13297, 2273, 27385, 27835, 9183, 18299, 18206, 26673, 26749, 5648, 14776, 2315, 26569, 15057, 27095, 3058, 11654, 27496, 23386, 4192, 1538, 10299, 14358, 19432, 7811, 29479, 13523, 13623, 6979, 18313, 22914, 9586, 12850, 15033, 26327, 16430]","[408, 339, 159, 361, 11, 26, 546, 677, 1167, 850, 317, 762, 1107, 347, 77, 312, 1211, 758, 925, 651, 580, 366, 784, 328, 267, 452, 621, 945, 259, 650, 667, 834, 519, 225, 587, 134, 482, 520, 1072, 918, 453, 300, 490, 891, 276, 42, 894, 1093, 555, 791]"
24,24,50,F,긴장완화,천식,"[21475, 19097, 16577, 24159, 12523, 9510, 9907, 26957, 399, 30620, 3586, 16571, 13989, 27924, 10416, 27934, 28346, 1289, 1573, 3645, 12371, 14767, 13625, 24251, 21507, 15865, 26881, 28124, 19098, 20725, 9900, 27067, 1187, 12220, 29513, 656, 29037, 10602, 28250, 11897, 1553, 14174, 26199, 2116, 5961, 6847, 18516, 22557, 5214, 14622]","[499, 1091, 732, 1066, 785, 20, 1227, 993, 472, 820, 936, 795, 109, 142, 1136, 412, 949, 1165, 178, 829, 117, 1090, 451, 1232, 655, 634, 253, 915, 452, 1044, 1000, 321, 269, 550, 1007, 535, 571, 1140, 553, 1055, 1107, 230, 887, 148, 262, 1108, 665, 252, 476, 348]"
25,25,43,M,수면질 ,빈혈,"[14288, 22724, 18727, 22046, 20026, 16096, 23957, 24005, 12585, 9997, 11118, 19681, 8967, 9300, 16313, 28578, 18173, 142, 24735, 15666, 7506, 27012, 3089, 6218, 17105, 17083, 6137, 20778, 7456, 28733, 3237, 8753, 22097, 782, 12227, 30040, 16810, 17037, 20063, 12737, 18324, 15455, 9309, 23573, 24777, 29369, 25122, 466, 10559, 11100]","[1214, 644, 179, 989, 44, 1201, 656, 758, 406, 383, 810, 367, 82, 869, 316, 349, 724, 270, 799, 1095, 649, 722, 921, 216, 1018, 819, 441, 633, 281, 587, 533, 501, 983, 984, 611, 1209, 698, 265, 473, 1125, 1129, 418, 351, 419, 648, 138, 900, 290, 256, 600]"
26,26,20,F,인지능력 ,고혈압,"[26986, 26315, 7697, 13256, 21184, 10528, 24763, 1271, 1315, 12234, 5899, 2232, 1571, 4358, 8278, 22498, 2805, 21203, 22802, 9813, 19840, 15674, 30752, 13465, 10586, 22386, 22763, 10017, 3537, 5193, 14618, 28865, 23228, 23347, 17386, 13633, 21669, 4250, 4593, 4116, 17259, 20931, 8612, 22057, 30519, 21555, 19226, 16964, 18895, 22452]","[251, 938, 1096, 754, 362, 89, 328, 899, 316, 810, 321, 940, 1219, 545, 1034, 631, 567, 788, 67, 547, 889, 459, 178, 132, 156, 77, 374, 1054, 503, 1025, 1053, 52, 308, 1004, 1240, 157, 351, 231, 754, 835, 636, 5, 506, 6, 395, 432, 1114, 888, 834, 1096]"
27,27,40,M,과민피부상태,협심증,"[8581, 23313, 20489, 8230, 20641, 11958, 11920, 17473, 13169, 19825, 29772, 2122, 18022, 13223, 13399, 20609, 20862, 16448, 27090, 4276, 12430, 16461, 19602, 9006, 6409, 13634, 18329, 17564, 11305, 11674, 27847, 5555, 13237, 27059, 10543, 22743, 15849, 10492, 25298, 28625, 23884, 5154, 19008, 8537, 1236, 29318, 1411, 13248, 26094, 4003]","[445, 900, 400, 231, 22, 534, 131, 248, 296, 698, 633, 336, 210, 139, 1089, 1161, 184, 493, 278, 1070, 742, 1081, 417, 972, 1139, 140, 449, 938, 777, 798, 74, 949, 944, 302, 1164, 495, 503, 917, 248, 43, 237, 470, 442, 1072, 1153, 697, 902, 258, 15, 480]"
28,28,39,M,위  ,간염,"[25372, 4323, 12559, 30293, 19487, 16364, 9894, 20110, 5516, 30644, 9621, 26877, 13246, 28071, 5716, 4307, 20064, 2119, 9298, 22110, 16758, 21845, 18044, 2286, 18375, 23899, 30244, 4185, 18414, 1790, 29110, 16128, 23888, 28241, 18875, 15406, 15593, 11557, 8102, 14048, 17629, 24760, 21924, 6608, 27648, 3351, 29376, 19538, 21509, 16685]","[301, 1151, 143, 1231, 421, 557, 811, 715, 677, 229, 713, 584, 400, 460, 214, 309, 348, 738, 84, 543, 972, 220, 255, 224, 586, 312, 418, 824, 287, 915, 346, 368, 621, 736, 226, 176, 183, 28, 66, 886, 266, 769, 584, 679, 589, 1115, 313, 125, 968, 633]"
29,29,21,F,콜레스테롤 ,협심증,"[1336, 22702, 26413, 1728, 15419, 12542, 2829, 12453, 13318, 7894, 11551, 1002, 1697, 22040, 4560, 23236, 12557, 3024, 25020, 5870, 4293, 9958, 8787, 26070, 3607, 5010, 18200, 20750, 21951, 13961, 27734, 23977, 2507, 3975, 11219, 2735, 4958, 10224, 22166, 2919, 20947, 6724, 14566, 3759, 14740, 18052, 3336, 22533, 8302, 27031]","[172, 655, 183, 556, 456, 513, 788, 1151, 1037, 167, 354, 285, 687, 289, 974, 604, 330, 44, 402, 1172, 251, 1114, 668, 136, 1003, 1232, 321, 957, 1094, 1024, 440, 889, 550, 734, 60, 870, 434, 1063, 682, 156, 149, 181, 737, 1056, 205, 202, 135, 367, 591, 918]"
30,30,33,F,갱년기남성 ,심근경색증,"[14093, 16524, 11021, 15684, 7657, 14940, 4769, 25473, 15928, 6322, 19961, 13179, 10649, 12034, 7112, 20502, 29976, 25029, 10762, 14677, 3781, 15597, 12839, 23946, 16944, 4067, 24793, 9578, 25695, 22189, 8590, 12564, 25951, 5405, 7885, 6049, 29995, 13766, 16055, 28039, 3588, 13059, 14746, 28336, 5580, 21822, 21275, 17350, 9421, 18655]","[152, 787, 389, 531, 1218, 896, 535, 817, 14, 1197, 1012, 183, 1027, 191, 105, 779, 901, 828, 190, 1116, 2, 1096, 1088, 857, 287, 1217, 656, 507, 1040, 111, 565, 83, 554, 765, 1089, 793, 0, 505, 694, 479, 79, 216, 1012, 808, 887, 197, 626, 268, 243, 98]"
31,31,29,F,관절 뼈 ,고혈압,"[1719, 24010, 28264, 22400, 4425, 14575, 8202, 13358, 30211, 7876, 29862, 3715, 25226, 16223, 12091, 5899, 8234, 19600, 24955, 6262, 29306, 30537, 20242, 11526, 21641, 8430, 24208, 7145, 13223, 28987, 9140, 15063, 9552, 15788, 24588, 11479, 17640, 26927, 4627, 1206, 23931, 24316, 4575, 877, 27383, 15513, 13720, 17250, 22969, 12196]","[531, 793, 971, 898, 1010, 564, 76, 377, 1053, 82, 1023, 269, 1138, 575, 1083, 91, 188, 701, 513, 1147, 271, 216, 731, 260, 751, 172, 393, 504, 387, 691, 458, 830, 951, 1234, 348, 49, 155, 479, 162, 862, 1018, 709, 613, 177, 54, 733, 1136, 1219, 929, 493]"
32,32,25,F,근력 ,간염,"[6218, 28255, 29840, 18930, 18403, 26074, 25975, 209, 3925, 19916, 13350, 20404, 776, 27327, 17631, 8580, 13706, 27100, 24683, 18507, 24977, 6333, 23609, 2804, 21236, 27433, 21942, 23385, 14590, 12852, 24462, 30375, 25740, 22989, 20065, 1283, 15945, 30690, 17179, 25855, 8709, 25720, 28733, 29035, 12480, 21158, 16410, 12663, 7759, 9796]","[1028, 462, 142, 1180, 12, 630, 681, 492, 746, 859, 1184, 380, 147, 269, 849, 264, 597, 414, 59, 207, 627, 155, 158, 82, 378, 547, 852, 164, 553, 1003, 764, 927, 26, 1106, 786, 318, 54, 937, 102, 818, 488, 1173, 343, 1154, 785, 34, 465, 257, 1236, 761]"
33,33,47,F,혈압조절,뇌졸중,"[1582, 30635, 19483, 18841, 10343, 18766, 6098, 16503, 27115, 25266, 3523, 4886, 8582, 28944, 11927, 15448, 2308, 318, 7281, 842, 19285, 10573, 5780, 14278, 13932, 25544, 3847, 7991, 29115, 30289, 9730, 1012, 15186, 16592, 27041, 27906, 5565, 17794, 19414, 13412, 25747, 10217, 28106, 30259, 10035, 12326, 30586, 10632, 274, 1068]","[725, 671, 669, 980, 134, 708, 860, 152, 1155, 1024, 840, 855, 236, 681, 783, 311, 177, 1104, 161, 925, 338, 792, 456, 1140, 4, 373, 687, 661, 6, 780, 262, 244, 301, 774, 32, 797, 60, 232, 1112, 980, 1152, 1041, 804, 738, 754, 1034, 35, 207, 169, 1203]"
34,34,33,M,피부 ,고혈압,"[30684, 19479, 3071, 11461, 26041, 153, 30569, 23573, 6311, 7214, 8744, 4027, 8210, 5650, 842, 2139, 13768, 26210, 15324, 13760, 9580, 24527, 19962, 17574, 3080, 5251, 17525, 27676, 28193, 18712, 6416, 22092, 10353, 3555, 2228, 30185, 30459, 11923, 9075, 4884, 11974, 6655, 30108, 8762, 6886, 18757, 22320, 8079, 7268, 25586]","[841, 76, 611, 18, 1093, 572, 100, 1232, 113, 1225, 941, 867, 468, 230, 951, 112, 44, 586, 186, 1014, 768, 257, 178, 910, 1099, 8, 806, 962, 1011, 271, 407, 654, 819, 372, 592, 842, 523, 680, 946, 144, 50, 1149, 184, 868, 219, 1022, 317, 434, 449, 93]"
35,35,43,F,혈압조절,고혈압,"[7011, 21978, 11974, 13630, 29666, 19887, 25463, 13539, 5305, 4868, 2478, 9445, 25063, 25718, 2442, 18555, 4844, 3335, 1268, 4638, 16194, 17817, 19849, 17734, 27254, 14567, 19684, 12924, 20131, 3741, 1199, 26745, 29330, 4066, 8265, 23134, 288, 57, 2578, 6839, 17355, 22590, 10310, 22936, 12327, 2070, 18222, 27836, 21778, 1917]","[947, 558, 645, 346, 940, 609, 960, 332, 293, 503, 1174, 663, 634, 984, 93, 792, 936, 467, 208, 652, 10, 717, 1035, 831, 360, 246, 1117, 902, 1066, 332, 151, 594, 580, 1195, 798, 1141, 19, 867, 965, 235, 40, 1136, 933, 341, 145, 611, 196, 942, 615, 556]"
